ItalianWord;GermanWord
La casa;Das Haus
Il nome;Der Name
Il fratello;Der Bruder
Uno;Eins
Sei;Sechs
Tre;Drei
Cinque;Fünf
Due;Zwei
Dodici;Zwölf
Sei (non il numero);Bist
Quattro;Vier
Otto;Acht
Undici;Elf
Giocare;Spielen
Correre;Laufen
Nuotare;Schwimmen
Ballare;Tanzen
Lei;Sie
Lui fa;Er macht
Io sono;Ich bin
Io telefono;Ich telefoniere
Lui pittura;Er malt
Volentieri;Gern
Cantare;Singen
Giusto;Richtig
Tu ti chiami;Du heisst
Chi;Wer
L’ape;Die Biene
Cavalcare;Reiten
Scalare;Klettern
Tu cavalchi;Du reitest
Lui scala;Er klettert
La tigre;Der Tiger
Il pesce;Der Fisch
Lunedì;Montag
Martedì;Dienstag
Mercoledì;Mittwoch
Giovedì;Donnerstag
Venerdì;Freitag
Sabato;Samstag
Domenica;Sonntag
13;Dreizehn
14;Vierzehn
15;Fünfzehn
16;Sechzehn
17;Siebzehn
18;Achtzehn
Io sono;Ich bin
19;Neunzehn
20;Zwanzig
La mela;Der Apfel
Suonare la chitarra;Gitarre spielen
Zero;Null
Cattivo;Schlecht
Giocare a calcio;Fußball spielen
Non;Nicht
Cioccolato;Die Schokolade
Il polpo;Der Oktopus
Il camaleonte;Das Chamäleon
Il gufo;Der Uhu
Il gabbiano;Die Möwe
Buona sera;Guten Abend
Buona notte;Gute Nacht
Nuotare;Schwimmen
Ciao, che cosa stai facendo?;Hallo, was machst du?
Musica;Die Musik
Ascoltare;Hören
La figlia;Die Tochter
Il neonato;Das Baby
La mucca;Die Kuh
Lo zio;Der Onkel
La mamma;Die Mutter
Il nonno;Der Grossvater
Articolo neutrale;Das
Pronome neutro;Es
Il bambino;Das Kind
Il nonno (fam.);Der Opa
La sorella;Die Schwester
Il cane;Der Hund
Il fratello;Der Bruder
I nonni;Die Großeltern
Di;Von
Gli animali;Die Tiere
Un;Ein
O, oppure;Oder
La donna, la signora;Die Frau
Il ragazzo;Der Junge
Questa è una lepre o un neonato?;Ist das ein Hase oder ein Baby?
Mio;Mein
Tuo;Dein
Il numero, la cifra;Die Zahl
Gli anni;Die Jahre
L’amico;Der Freund
Ho 9 anni;Ich bin 9 Jahre alt
Questo è il tuo gatto?;Ist das deine Katze?
Loro;Sie
Il nonno e la nonna sono i nonni;Das Grossvater und die Grossmutter sind die Gosseltern
La nonna;Die Grossmutter
Il figlio;Der Sohn
La lepre;Der Hase
Il;Der
La zia;Die Tante
La;Die
Il cavallo;Das Pferd
Il papà;Der Vater
La famiglia;Die Familie
La nonna (fam.);Die Oma
Il gatto;Die Katze
Il neonato ride.;Das  Baby lacht
I genitori;Die Eltern
Lei;Sie
L’animale;Das Tier
I bambini;Die Kinder
Una;Eine
L’uomo, il signore;Der Mann
Emma è la sorella di Tom;Emma ist die Schwester von Tom
La ragazza;Das Mädchen
Questo è il neonato. Si chiama Emil.;Das ist das  Baby. Es heisst Emil.
Mia;Meine
Tua;Deine
L’anno, l’età;Das Alter
Vecchio;Alt
L’amica;Die Freundin
Quanti anni hai?;Wie alt bist du?
Loro sono i genitori di Tom;Das sind die  Eltern von Tom
Loro si chiamano Doris e Markus;Sie heissen Doris und Markus
Da dove;Woher
Da, dalla, dal;Von
Austria;Österreich
Abitare;Wohnen
Parlare;Sprechen
Sciare;Skifahren
Suonare il flauto;Flöte spielen
Molto;Sehr
Il nome;Der Name
La città;Die Stadt
La lingua;Die Sprache
Dove?;Wo?
L’auto;Das Auto
Così;So
Da dove vieni?;Woher kommst du?
Vengo dall’Austria;Ich komme aus Österreich.
Vieni dalla Svizzera?;Kommst du aus der Schweiz?
Dove abita Alex?;Wo wohnt Alex?
Alex abita a Cama;Alex wohnt in Cama.
Kris parla tedesco;Kris spricht Deutsch
Lei scia volentieri;Sie fährt Ski gern
Lui va volentieri in bicicletta;Er fährt Rad gern
Kris suona il flauto;Kris spielt Flöte
Leggi volentieri?;Liest du gerne?
Dove abiti?;Wo wohnst du?
Il tedesco è una lingua;Deutsch ist eine Sprache
Quale è il tuo numero di telefono?;Was ist dein Telefonnummer?
Venire;Kommen
Germania;Deutschland
Svizzera;Der Schweiz
In, a;In
Andare;Gehen
La bicicletta;Das Fahrrad
Leggere;Lesen
Molto;Sehr
L’età;Das Alter
Il paese, stato;Der Staat
L’hobby;Das Hobby
Quanti anni hai?;Wie alt bist?
Il numero di telefono;Das Telefonnummer
